ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,pident,evalue,HexColor
ASV_4327,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia orientalis,97.818,7.11E-133,#F2CECE
ASV_4328,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Tubulicrinaceae,Tubulicrinis,Tubulicrinis glebulosus,100,4.78E-175,#CFA283
ASV_4329,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Saccharomyces sp,100,3.26E-108,#F2CECE
ASV_4330,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,97.77,5.78E-129,#F2CECE
ASV_4331,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida sake,98.496,3.45E-131,#F2CECE
ASV_4332,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,99.632,1.45E-139,#64A363
ASV_4333,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida quercitrusa,99.035,7.58E-158,#F2CECE
ASV_4334,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,unidentified,unidentified,Saccharomycetales sp,99.623,1.23E-135,#F2CECE
ASV_4336,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus pseudoglaucus,99.632,1.45E-139,#64A363
ASV_4337,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor sp,99.703,1.35E-175,#BEBEBE
ASV_4338,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida parapsilosis,99.642,1.92E-143,#F2CECE
ASV_4339,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales sp,98.662,5.70E-149,#BDE1E1
ASV_4340,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia sp,98.529,5.26E-134,#C48C66
ASV_4341,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia sp,98.195,4.25E-135,#C09C9C
