SampleID,qPCR18S
FMT.0063H,2367966.5107484073
FMT.0243I,2412756.831
1773H,2449212.456597222
1642D,2459153.1361209964
1785I,2466558.974
1810A,2473445.749500571
MSK16,2474330.1052517365
FMT.0028E,2484075.293989547
1713B,2486767.782129882
1755J,2514768.3326962288
1656E,2557631.924705882
1796C,2574602.2646473264
1777H,2622566.6278812056
1705Q,2634973.167194093
1686L,2678879.1486291485
1760G,2691677.8171040514
FMT.0061E,2703212.245319383
1785A,2706842.763
FMT.0244M,2713414.0799776283
FMT.0063TT,2720495.101686508
FMT.0241E,2792982.3340754877
1824C,2888311.1185782556
FMT.0126VV,2949455.121805112
FMT.0126NN,2972921.360872675
1711J,2984375.283
FMT.0107F,3027194.3082788666
FMT.0063B,3035478.539385645
FMT.0239C,3174412.8178615193
1801D,3190205.0379372425
FMT.0063BBB,3223782.051282051
1690E,3236494.7289156625
1760I,3297347.7547628838
1755E,3304854.573643411
1824B,3384514.4118139227
FMT.0028M,3392463.1880144035
FMT.0050L,3423296.5244391025
1734B,3430807.1445386065
1720I,3523610.8925359715
1442V,3531530.781
1802H,3581985.4797979803
1731G,3608365.885416667
1755D,3631504.932735426
1776I,3691716.0353244157
1711F,3768126.9425019426
1759A,3774472.705017166
FMT.0063NN,3778050.964877137
FMT.0061H,3807850.0176553675
FMT.0063FFF,3882540.2062218473
FMT.0010Q,3990002.6647286825
1822E,4057953.000992063
1691F,4078354.7979797986
FMT.0050I,4109765.256485849
1728D,4209600.010702055
FMT.0251C,4304105.346331909
1789E,4331050.408568905
FMT.0244M,4416324.533
1791F,4481993.737599206
FMT.0244D,4490100.646
1776N,4557041.196469908
1777B,4568122.332317074
1772L,4730295.291179338
1798D,4827465.147243108
1721A,4934961.286
1716B,4990719.937
FMT.0063II,4995026.765046296
FMT.0028B,5036688.174293156
FMT.0251H,5059698.286489152
1723A,5062333.495
1789D,5173686.155913979
FMT.0244I,5195272.916666667
1757S,5207409.209280304
FMT.0250K,5252797.797797797
1711H,5341278.388
1785F,5506714.645
1785E,5585003.579
FMT.0063HH,5738512.382075472
1691A,5749147.511398176
FMT.0244J,5908131.681
FMT.0063KK,5951105.46875
FMT.0243E,5985244.061
1802G,5989964.676155115
FMT.0010I,6013825.729166666
MSK20,6040771.940987934
1760F,6041940.104166666
1773G,6420312.030780781
1818O,6424895.833333334
1796F,6455434.027777777
1713C,6457332.797897196
1798A,6459770.591709623
1755K,6508547.079822097
1802N,6598707.217261905
FMT.0244O,6650576.7822265625
FMT.0098W,6651522.309711286
1656G,6804248.674816627
1822B,6899356.899289984
FMT.0063A,6917834.201388888
FMT.0245A,6988158.856
1755I,7000563.7583892625
FMT.0250D,7006192.708
1713G,7187244.201559934
972Q,7241531.982421875
FMT.0250J,7255336.130401234
1798M,7268520.622895624
1442KK,7275306.303
1695B,7280000.0
1785C,7310354.211
1642O,7330795.873397437
FMT.0107T,7342959.47265625
1766M,7555129.753304212
1720E,7687310.577876984
1708D,7692153.474
FMT.0061R,7698746.713985279
1772K,7747684.128630705
1755L,7823371.279373368
1723C,7890866.087
1776J,8002167.525632637
MSK17,8047993.029448622
1760C,8065044.939959491
1642F,8410637.44848901
1751S,8411606.445833335
1711D,8458890.699940048
1760E,8725245.432374338
1760B,8731209.309895834
FMT.0028F,8864849.305555556
1709E,8868368.981
1192RR,9025392.763
1705P,9383474.888392856
FMT.0126UU,9595325.790229887
1818N,9609909.0232684
1751U,9759534.893827163
1442GG,9988323.55
1713E,10063588.541666666
1708E,10273655.36
1798C,10394792.646290492
FMT.0250O,10417016.2521815
1818A,10463695.023148147
1757I,10527540.433114037
FMT.0251B,10591756.427304965
1758A,10720529.654578606
FMT.0063P,10723708.639705883
1786F,227622.8
MSK21,11096303.50378788
FMT.0035E,11178855.36991199
1708A,11810443.58
FMT.0063SS,11943182.291666668
1642L,11993368.808049535
1772B,12193727.719907409
1786G,147116.13
FMT.0241F,12527330.212922173
1711K,12795814.95
FMT.0063JJ,13151900.088922765
1789B,13291727.531492246
1711C,13504705.357142856
FMT.0126WW,13674680.013020834
1806D,13940703.355457226
FMT.0250I,13988451.06186519
1786H,1783161.0
FMT.0028G,14328415.725047082
FMT.0244C,14346628.76
1730B,14404119.088350633
FMT.0050H,14618793.276972624
1758D,14905230.360010706
1757Q,15125317.83136483
1814C,15256354.63169643
1442HH,15377658.75
1777F,15704066.342213115
1708B,15898555.72
1785B,16134361.84
1751R,16557098.060689656
1680B,16589406.779661018
1706F,16696888.71
1809N,16733911.356209148
1776G,17276345.11829096
1802A,17375431.950499002
FMT.0063A,17666087.78211806
1711M,17718933.99931694
1708C,17849457.71
1777G,17850565.087145966
FMT.0244H,18043019.494430166
FMT.0250N,18087161.39954853
FMT.0061J,18116145.833333332
FMT.0063HHH,18918314.516129036
1823N,18927985.356280193
1766N,18992203.97698045
1721G,19001643.06
FMT.0250P,19060973.70218579
FMT.0107I,19170230.963791266
FMT.0250T,19258237.5
1686J,19653816.056910567
FMT.0061Z,19729311.68831169
1786I,281004.19
FMT.0061CC,20267453.497023806
FMT.0251D,20292267.197986577
1757T,20630865.119485293
1716A,20800271.94
FMT.0251I,20850741.689435337
FMT.0107R,20867179.59449405
1760H,20980429.22247024
